liar	238	4.0461	62	2.0
slop	266	4.083	34	2.1176
arty	254	4.0906	46	2.1738
pars	251	4.1116	49	2.7755
tame	249	4.1124	51	2.8627
sent	256	4.1133	44	2.1136
reds	246	4.1137	54	2.4999
gels	247	4.1174	53	2.4907
dubs	262	4.1186	38	2.4212
date	252	4.1189	48	2.9584
lout	256	4.1208	44	3.7273
lend	252	4.127	48	2.604
cute	256	4.1289	44	3.0453
bean	245	4.1304	55	2.6183
nits	254	4.1339	46	3.5216
rats	250	4.1361	50	1.8799
mane	255	4.1371	45	3.2
robs	247	4.1375	53	1.1887
snap	254	4.1379	46	2.3042
yarn	238	4.1388	62	2.6934
dyer	258	4.1396	42	2.7143
ares	241	4.1411	59	3.2032
sign	254	4.1415	46	1.9566
lops	253	4.1424	47	2.6384
teas	252	4.1429	48	3.1667
rute	244	4.1436	56	1.9643
toes	249	4.1448	51	3.0001
tire	246	4.146	54	2.648
brew	252	4.1469	48	3.1042
oral	244	4.1476	56	1.9285
ipad	248	4.1494	52	2.9615
sear	249	4.1523	51	2.7844
club	242	4.1532	58	2.6551
tear	254	4.1536	46	2.1956
tons	251	4.1549	49	1.8163
rapt	257	4.1554	43	3.5116
bins	242	4.1567	58	2.4309
tram	260	4.1576	40	2.575
tugs	254	4.1576	46	2.0434
legs	247	4.162	53	2.7736
snot	249	4.1647	51	3.4707
gore	241	4.1661	59	2.3391
darn	251	4.1673	49	3.0202
peas	244	4.1679	56	2.4465
lure	243	4.1686	57	3.1228
skep	260	4.1689	40	2.9501
duel	253	4.1697	47	3.1702
keps	247	4.1698	53	2.698
rasp	258	4.1705	42	2.6192
hens	252	4.1706	48	2.1458
lost	252	4.1707	48	3.8125
lump	262	4.1718	38	2.1053
does	233	4.1719	67	2.0746
dors	250	4.172	50	2.4602
wear	225	4.1734	75	2.2666
ions	236	4.1734	64	1.4219
ones	247	4.1737	53	2.9998
ants	246	4.1746	54	1.9074
halt	256	4.1758	44	1.6818
weds	250	4.1759	50	2.4399
fore	233	4.1763	67	1.4775
told	249	4.1765	51	2.7452
cult	255	4.1766	45	2.8443
seat	260	4.177	40	2.4251
rily	237	4.1775	63	2.6033
lied	253	4.1778	47	3.1063
leas	241	4.1786	59	2.9661
horn	241	4.1787	59	2.9491
duet	257	4.179	43	2.3255
troy	262	4.1794	38	2.0526
enol	251	4.1795	49	3.1837
mart	255	4.1805	45	3.0444
slow	249	4.181	51	3.2353
hues	243	4.1811	57	2.9824
rims	248	4.1814	52	2.3846
tums	253	4.1815	47	3.2128
this	247	4.1823	53	1.5659
hats	252	4.1827	48	1.8957
nods	251	4.1833	49	3.306
glia	239	4.1841	61	2.2459
rile	249	4.1846	51	2.7844
soul	249	4.1848	51	2.5883
lots	254	4.185	46	3.1958
gist	270	4.1853	30	1.7999
pony	254	4.1854	46	4.1522
hoes	231	4.1866	69	2.4202
gale	241	4.1868	59	2.1864
mats	257	4.1868	43	2.9303
wore	246	4.1874	54	1.7778
yens	240	4.1877	60	2.7167
terp	255	4.188	45	2.5333
chap	255	4.1884	45	2.6222
wilt	265	4.1887	35	1.6
